tweet,clean_tweet,sentiment
"@cattleyaishmn Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/zzQie5utxK",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"Tbh kadang gue mikir pindah ibu kota tuh krn sebenernya pemerintah udah tau potensi gempa dari dulu, makanya cepet2… https://t.co/WruG9ER9Pl",sejujurnya terkadang berpikir pindah kota sebenernya pemerintah tau potensi gempa cepet,Neutral
Bisa ngga sih Tweet nya jangan info gempa terus? Sekali-kali infonya yang bikin orang bahagia gitu :),tweet info gempa sekalikali infonya berguncang bikin orang bahagia,Neutral
Selamat pagii Sarapan roti boy dan white coffe sambil scroll twitter ada berita gempa takut kmaren saat di Denpasar… https://t.co/5bdnf1N7cR,selamat pagi sarapan roti terkadang white coffe scroll twitter terkadang berita gempa takut kemarin denpasar,Negative
"@AdamPrakoso17 Gempa ora?

Innalillahi 
Alhamdulillah aman mung atos poll",gempa innalillahi alhamdulillah aman keras,Positive
@Gempa_Tsunami Semooga sehat semua nya amin ya Allah.,tsunami semoga sehat amin berguncang,Positive
"@abdulhaqku Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/HVdTZcIUX0",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
Yang bisa menjelaskan penyebabnya gempa / bencana alam dan kaitannya dengan azab hanya kaum yang cukup beriman. Kam… https://t.co/fUypGgsmHC,berguncang penyebabnya gempa bencana alam terkadang kaitannya azab kaum berguncang beriman,Negative
"sering banget gue rasain.
pas gempa kemarin ga berasa atau emang gue ngiranya vertigo aja krn sering kambuh, gilira… https://t.co/UGdoCxii1p",merasakan gempa kemarin berasa ngiranya vertigo kambuh giliran,Negative
Kok aku gemeteran ya? Ini gempa apa getaran hatiku yang merindukanmu Yor ?? Teens_Yori,gemeteran berguncang gempa getaran hatiku berguncang merindukanmu yor teensyori,Negative
YA ALLAH TAK PIKIR GEMPA TErnyata emun lagi mandi mandi di kasur hhh,berguncang pikir gempa emun mandi mandi kasur,Negative
kirain d bangunin subuh sama gempa wkwk ternyata ujan gledek,bangunin subuh gempa ujan geledek,Negative
